Title,Year,DOI
Comparing Abstract and Realistic Agent-Led Instructions for Language Learning in Virtual Environments: A Study on Presence Effects,2026,10.1109/RITA.2026.3675805
"Advancing Engineering Education Through Serious Games: A Systematic Literature Review of Technological Innovation, Challenges, and Future Directions",2026,10.1109/ACCESS.2026.3669416
Design and Implementation of Metaverse for a Self-Learning Platform: a Case Study in KMUTNB Techno Park,2025,10.1109/ECTI-CON64996.2025.11100970
Impact of Different UI on Foreign Language Learning Using iVR,2024,10.1109/ICGI64003.2024.10923812
Learning a Foreign Language: Traditional Listening vs Interactive Immersive Virtual Reality,2024,10.1109/ICGI64003.2024.10923758
Improving Higher Education With the Use of Mobile Augmented Reality (MAR): A Case Study,2024,10.1109/ACCESS.2024.3465833
Interactive Augmented Reality System for Learning Phonetics Using Artificial Intelligence,2024,10.1109/ACCESS.2024.3406494
Teaching EFL With Immersive Virtual Reality Technologies: A Comparison With the Conventional Listening Method,2023,10.1109/ACCESS.2023.3249578
Game-based learning using a 3D virtual world in computer engineering education,2017,10.1109/EDUCON.2017.7942982
