title,journal,volume,number,pages,year,issn,doi,url
What variables are connected with system usability and satisfaction? Results from an educational virtual reality field trip,Computers & Education: X Reality,3,,100043,2023,2949-6780,https://doi.org/10.1016/j.cexr.2023.100043,https://www.sciencedirect.com/science/article/pii/S2949678023000375
Health Care and Social Work Students’ Experiences With a Virtual Reality Simulation Learning Activity: Qualitative Study,JMIR Medical Education,9,,,2023,2369-3762,https://doi.org/10.2196/49372,https://www.sciencedirect.com/science/article/pii/S2369376223000661
Comparing Virtual Reality Trauma Training Across Diverse Clinical Backgrounds: A Mixed-Methods Study in Canada And India,Journal of Surgical Education,83,1,103794,2026,1931-7204,https://doi.org/10.1016/j.jsurg.2025.103794,https://www.sciencedirect.com/science/article/pii/S1931720425003757
Determinants of adoption of virtual reality as a teaching aid in higher education: the mediating role of hedonic motivation,Journal of Applied Research in Higher Education,18,1,298-312,2025,2050-7003,https://doi.org/10.1108/JARHE-07-2024-0327,https://www.sciencedirect.com/science/article/pii/S2050700325000142
The effects of neonatal resuscitation gamification program using immersive virtual reality: A quasi-experimental study,Nurse Education Today,117,,105464,2022,0260-6917,https://doi.org/10.1016/j.nedt.2022.105464,https://www.sciencedirect.com/science/article/pii/S0260691722002003
Empowering healthcare students in online interprofessional learning through virtual reality educational technology: A randomised controlled cross-over trial,Nurse Education Today,164,,107134,2026,0260-6917,https://doi.org/10.1016/j.nedt.2026.107134,https://www.sciencedirect.com/science/article/pii/S0260691726001620
Virtual reality for gender microaggression training: A qualitative exploration of higher education students’ immersive learning experiences,Computers & Education: X Reality,8,,100149,2026,2949-6780,https://doi.org/10.1016/j.cexr.2026.100149,https://www.sciencedirect.com/science/article/pii/S2949678026000176
Immersive learning factories for promoting experiential manufacturing education and STEM competency development,Computers & Education: X Reality,7,,100125,2025,2949-6780,https://doi.org/10.1016/j.cexr.2025.100125,https://www.sciencedirect.com/science/article/pii/S2949678025000339
"The efficacy of a mobile augmented reality application in improving nursing students' knowledge, skills, and motivation in pressure injury assessment: A randomized controlled trial",Nurse Education Today,148,,106643,2025,0260-6917,https://doi.org/10.1016/j.nedt.2025.106643,https://www.sciencedirect.com/science/article/pii/S0260691725000784
Operating Room Virtual Reality Immersion Improves Self-Efficacy Amongst Preclinical Physician Assistant Students,Journal of Surgical Education,77,4,947-952,2020,1931-7204,https://doi.org/10.1016/j.jsurg.2020.02.013,https://www.sciencedirect.com/science/article/pii/S1931720420300477
Immersive Virtual Reality Training to Improve Novice Physicians’ Emergency Response Skills: Randomized Controlled Trial,JMIR Medical Education,12,,,2026,2369-3762,https://doi.org/10.2196/71455,https://www.sciencedirect.com/science/article/pii/S2369376226000620
Exploring the effects of extended reality head-mounted display nervous system assessment training for nursing students: A pilot feasibility study,Nurse Education Today,133,,106089,2024,0260-6917,https://doi.org/10.1016/j.nedt.2023.106089,https://www.sciencedirect.com/science/article/pii/S0260691723003830
Understanding learnersâ€™ acceptance of high-immersion virtual reality systems: Insights from confirmatory and exploratory PLS-SEM analyses,Computers & Education,169,,104214,2021,,https://doi.org/10.1016/j.compedu.2021.104214,https://www.sciencedirect.com/science/article/pii/S0360131521000919
Investigating the process of learning with desktop virtual reality: A structural equation modeling approach,Computers & Education,134,,15-30,2019,,https://doi.org/10.1016/j.compedu.2019.02.002,https://www.sciencedirect.com/science/article/pii/S0360131519300259
A Comprehensive Multicomponent Neurosurgical Course with use of Virtual Reality: Modernizing the Medical Classroom,Journal of Surgical Education,78,,1350-1356,2021,,https://doi.org/10.1016/j.jsurg.2020.11.003,https://www.sciencedirect.com/science/article/pii/S1931720420304281
The effects of 3D multi-user virtual environments on freshmen university students' conceptual and spatial learning and presence in departmental orientation,Computers & Education,94,,228-240,2016,,https://doi.org/10.1016/j.compedu.2015.12.005,https://www.sciencedirect.com/science/article/pii/S0360131515300956
